1,12549904
2,5362305
3,1128898
4,195163
5,61587
6,24762
7,11771
8,6748
9,3916
10,2600
11,1803
12,1280
13,925
14,668
15,586
16,475
17,339
18,320
19,256
20,181
21,190
22,159
23,138
24,117
25,112
26,75
27,77
28,58
29,60
30,60
31,45
32,37
33,53
34,41
35,31
36,38
37,26
38,26
39,26
40,31
41,17
42,23
43,9
44,18
45,11
46,19
47,17
48,10
49,11
50,14
51,16
52,15
53,8
54,11
55,15
56,7
57,7
58,5
59,6
60,11
61,6
62,6
63,7
64,7
65,4
66,5
67,8
68,8
69,3
70,1
71,6
72,6
73,7
74,4
75,2
76,5
77,3
78,4
79,1
80,3
81,4
82,4
83,4
84,5
85,2
86,5
87,4
89,2
90,1
91,4
92,3
94,2
95,1
96,3
97,2
98,1
99,2
100,1
101,2
102,1
103,1
104,2
105,1
106,5
107,2
109,3
111,1
112,1
113,1
114,1
115,1
116,3
118,4
119,1
120,2
121,2
122,2
123,1
124,1
125,1
126,1
130,1
131,1
136,1
140,1
150,1
151,1
152,3
153,2
155,1
156,2
159,1
160,1
164,1
165,1
166,1
167,1
168,1
176,1
177,1
178,1
180,1
182,2
184,1
186,1
197,1
221,2
223,2
224,1
225,1
227,1
233,1
243,1
245,1
251,1
281,1
305,1
310,1
314,1
375,1
376,1
383,1
384,1
395,1
402,1
426,1
441,1
472,1
489,2
492,1
514,1
543,1
545,1
554,1
556,1
586,1
593,1
599,1
898,1
1012,1
1218,1
1279,1
1539,1
1903,1
1905,1
2174,1
3708,1
9541,1
10125,1
10715,1
23210,1
