2,13940648
3,7133071
4,1219452
5,380121
6,110655
7,46619
8,20447
9,11317
10,6424
11,4372
12,2906
13,2134
14,1537
15,1251
16,1021
17,774
18,668
19,563
20,464
21,365
22,363
23,277
24,280
25,225
26,209
27,185
28,163
29,160
30,149
31,139
32,112
33,114
34,114
35,109
36,86
37,65
38,77
39,66
40,75
41,58
42,55
43,51
44,42
45,59
46,52
47,41
48,43
49,36
50,39
51,34
52,31
53,30
54,36
55,29
56,26
57,35
58,24
59,37
60,32
61,33
62,24
63,22
64,32
65,21
66,23
67,18
68,16
69,23
70,14
71,14
72,15
73,12
74,21
75,12
76,19
77,14
78,5
79,10
80,7
81,8
82,9
83,16
84,14
85,10
86,10
87,10
88,6
89,6
90,9
91,10
92,10
93,10
94,9
95,8
96,8
97,6
98,5
99,12
100,4
101,8
102,7
103,3
104,3
105,10
106,7
107,6
108,11
109,8
110,5
111,7
112,7
113,6
114,5
115,11
116,4
117,4
118,4
119,5
120,3
121,8
122,2
123,9
124,5
125,2
126,3
127,7
128,4
129,1
130,4
131,2
132,4
133,4
134,5
135,5
136,3
137,3
138,2
139,5
140,8
141,3
142,2
143,1
144,4
145,1
146,2
147,3
148,6
149,3
150,2
151,3
152,4
153,4
154,4
155,3
156,4
157,2
158,2
159,2
161,1
162,3
163,2
164,1
165,2
166,2
167,1
168,1
169,2
170,1
171,2
172,1
173,5
175,2
176,3
177,4
178,2
179,1
181,4
182,2
183,2
184,3
185,1
188,1
189,2
190,1
191,2
192,2
193,1
194,1
195,1
196,2
197,2
198,1
199,2
200,1
201,4
203,4
204,1
207,2
208,1
209,1
210,2
211,3
212,1
213,1
214,1
215,2
216,3
217,2
218,2
219,1
221,1
222,2
224,1
225,2
227,1
228,1
230,1
231,1
233,1
236,1
237,4
239,2
242,1
243,1
247,3
248,1
251,1
252,1
253,1
255,2
256,1
257,2
258,1
259,1
260,2
261,1
262,1
263,2
264,1
265,2
268,1
270,3
272,2
274,1
275,2
276,1
277,1
280,1
283,1
286,1
291,1
292,1
295,2
296,3
298,1
300,1
303,1
304,1
306,1
308,2
309,3
311,1
312,2
314,2
316,1
317,1
321,1
322,1
324,1
325,1
327,1
328,2
335,1
336,2
337,1
339,1
346,1
347,1
348,1
351,1
352,1
353,1
355,2
357,3
361,2
363,1
366,1
369,1
381,1
384,1
385,1
389,1
390,3
392,1
393,1
398,1
401,1
411,3
417,1
418,1
420,1
427,2
429,1
431,1
433,1
434,1
445,2
459,1
460,1
464,1
470,1
471,1
474,2
479,1
488,1
496,2
501,1
502,1
503,1
504,1
508,1
515,1
521,1
530,1
534,1
538,1
539,1
545,1
550,1
565,1
576,1
589,1
592,1
600,1
608,1
612,1
631,1
633,1
635,1
641,1
648,1
656,1
657,1
696,1
707,1
709,1
740,1
754,1
763,1
780,1
785,1
787,1
823,1
849,1
869,1
872,1
875,1
917,1
992,1
1027,1
1061,1
1136,1
1168,1
1242,1
1251,1
1279,1
1292,1
1298,1
1345,1
1516,1
1542,1
1619,1
1668,1
1706,1
1838,1
1987,1
1990,1
2052,1
2060,1
2116,1
2285,1
2390,1
2434,1
2529,1
2686,1
2981,1
4238,1
4271,1
5051,1
